category,source,ga:sessions_prev,ga:goalCompletionsAll_prev,ga:sessions_curr,ga:goalCompletionsAll_curr,sessionsChangeRate,goalCompletionsChangeRate,goalConversionRateAll_curr,goalConversionRateAll_prev
Social,Facebook,242,2,272,0,12.4,-100.0,0.0,0.83
Social,Twitter,44,1,91,1,106.82,0.0,1.1,2.27
Social,YouTube,8,0,21,0,162.5,0.0,0.0,0.0
Social,LinkedIn,24,0,19,0,-20.83,0.0,0.0,0.0
Social,TypePad,0,0,1,0,inf,0.0,0.0,0.0
Social,Google Groups,2,0,0,0,-100.0,0.0,0.0,0.0
Social,Google+,1,0,0,0,-100.0,0.0,0.0,0.0
Organic Search,google,6077,35,6775,39,11.49,11.43,0.58,0.58
Organic Search,bing,191,3,227,2,18.85,-33.33,0.88,1.57
Organic Search,yahoo,128,2,131,3,2.34,50.0,2.29,1.56
Organic Search,ask,12,0,14,0,16.67,0.0,0.0,0.0
Organic Search,aol,4,0,8,0,100.0,0.0,0.0,0.0
Organic Search,baidu,1,0,8,0,700.0,0.0,0.0,0.0
Organic Search,yandex,1,0,3,0,200.0,0.0,0.0,0.0
Organic Search,sogou,0,0,1,0,inf,0.0,0.0,0.0
Organic Search,avg,2,0,0,0,-100.0,0.0,0.0,0.0
Organic Search,rambler,1,0,0,0,-100.0,0.0,0.0,0.0
Paid Search,facebook,1,1,0,0,-100.0,-100.0,0.0,100.0
Referral,ct220.infusionsoft.com,33,2,112,5,239.39,150.0,4.46,6.06
Referral,richdadadvisors.com,54,3,104,1,92.59,-66.67,0.96,5.56
Referral,duckduckgo.com,20,0,26,0,30.0,0.0,0.0,0.0
Referral,patch.com,0,0,10,0,inf,0.0,0.0,0.0
Referral,free-fb-traffic.com,0,0,9,0,inf,0.0,0.0,0.0
Referral,app.asana.com,1,0,8,0,700.0,0.0,0.0,0.0
Referral,gerridetweiler.com,7,0,8,0,14.29,0.0,0.0,0.0
Referral,nvsos.gov,3,0,7,1,133.33,inf,14.29,0.0
Referral,toxicclient.com,5,0,6,0,20.0,0.0,0.0,0.0
Referral,ecommerce-seo.org,0,0,6,0,inf,0.0,0.0,0.0
Referral,sutlaw.com,4,0,5,0,25.0,0.0,0.0,0.0
Referral,outlook.live.com,2,0,5,0,150.0,0.0,0.0,0.0
Referral,blog.credit.com,2,0,4,0,100.0,0.0,0.0,0.0
Referral,takingstock.biz,3,0,4,0,33.33,0.0,0.0,0.0
Referral,amazon.com,0,0,4,0,inf,0.0,0.0,0.0
Referral,search.pch.com,0,0,4,0,inf,0.0,0.0,0.0
Referral,mybestadvisors.com,6,0,3,0,-50.0,0.0,0.0,0.0
Referral,search.tb.ask.com,5,0,3,0,-40.0,0.0,0.0,0.0
Referral,successdna.com,3,0,3,0,0.0,0.0,0.0,0.0
Referral,entrepreneur.com,0,0,3,0,inf,0.0,0.0,0.0
Referral,searchprivacy.co,0,0,3,0,inf,0.0,0.0,0.0
Referral,search.mysearch.com,0,0,3,0,inf,0.0,0.0,0.0
Referral,allbusiness.com,5,0,3,0,-40.0,0.0,0.0,0.0
Referral,nevada-registered-agents.com,2,1,2,0,0.0,-100.0,0.0,50.0
Referral,theselfemployed.com,0,0,2,0,inf,0.0,0.0,0.0
Referral,finecomb.com,0,0,2,0,inf,0.0,0.0,0.0
Referral,m.huffpost.com,1,0,2,0,100.0,0.0,0.0,0.0
Referral,mail.google.com,1,0,2,0,100.0,0.0,0.0,0.0
Referral,app.buzzsumo.com,0,0,2,0,inf,0.0,0.0,0.0
Referral,corporatedirect.com,2,0,2,0,0.0,0.0,0.0,0.0
Referral,yaahlaa.com,8,0,2,0,-75.0,0.0,0.0,0.0
Referral,biggerpockets.com,5,0,2,0,-60.0,0.0,0.0,0.0
Referral,search.earthlink.net,2,0,2,0,0.0,0.0,0.0,0.0
Referral,owa10.myoutlookonline.com,1,0,1,0,0.0,0.0,0.0,0.0
Referral,search.fulltabsearch.com,0,0,1,0,inf,0.0,0.0,0.0
Referral,members.theinvestormachine.com,1,0,1,0,0.0,0.0,0.0,0.0
Referral,search.handycafe.com,0,0,1,0,inf,0.0,0.0,0.0
Referral,mg.mail.yahoo.com,3,0,1,0,-66.67,0.0,0.0,0.0
Referral,startpage.com,0,0,1,0,inf,0.0,0.0,0.0
Referral,search.gmx.net,0,0,1,0,inf,0.0,0.0,0.0
Referral,myprivatesearch.com,0,0,1,0,inf,0.0,0.0,0.0
Referral,ph.search.yahoo.com,0,0,1,0,inf,0.0,0.0,0.0
Referral,snip.ly,0,0,1,0,inf,0.0,0.0,0.0
Referral,retireyoungrich.com,0,0,1,0,inf,0.0,0.0,0.0
Referral,searchall.com,1,0,1,0,0.0,0.0,0.0,0.0
